killmail id,killmail time,ship type id,ship name
71623506,2018-08-02T20:33:11Z,626,Vexor
71623187,2018-08-02T20:16:10Z,17715,Gila
71621525,2018-08-02T19:10:11Z,17715,Gila
71618769,2018-08-02T17:04:09Z,17715,Gila
71617077,2018-08-02T15:16:21Z,17715,Gila
71617006,2018-08-02T15:12:02Z,621,Caracal
71615059,2018-08-02T13:14:32Z,627,Thorax
71613923,2018-08-02T11:31:34Z,17715,Gila
71612623,2018-08-02T09:02:05Z,621,Caracal
71612026,2018-08-02T07:51:22Z,17715,Gila
71611790,2018-08-02T07:14:01Z,12005,Ishtar
71610700,2018-08-02T05:21:16Z,12019,Sacrilege
71609821,2018-08-02T04:39:15Z,627,Thorax
71603155,2018-08-01T23:19:37Z,17715,Gila
71603023,2018-08-01T23:11:56Z,12003,Zealot
71602604,2018-08-01T22:49:58Z,17715,Gila
71600738,2018-08-01T21:20:07Z,17715,Gila
71597633,2018-08-01T19:03:52Z,17715,Gila
71597086,2018-08-01T18:23:40Z,17715,Gila
71597080,2018-08-01T18:23:19Z,11999,Vagabond
71596883,2018-08-01T18:06:24Z,17715,Gila
71596627,2018-08-01T17:44:07Z,17715,Gila
71595289,2018-08-01T15:28:35Z,17715,Gila
71594447,2018-08-01T14:30:46Z,17715,Gila
71593831,2018-08-01T13:41:15Z,17715,Gila
71593710,2018-08-01T13:31:47Z,17715,Gila
71593165,2018-08-01T12:47:40Z,626,Vexor
71592761,2018-08-01T12:07:04Z,12019,Sacrilege
71592538,2018-08-01T11:42:59Z,17715,Gila
71591035,2018-08-01T08:07:57Z,17715,Gila
71590682,2018-08-01T07:21:19Z,17843,Vexor Navy Issue
71589176,2018-08-01T04:10:31Z,12005,Ishtar
71588982,2018-08-01T03:44:19Z,621,Caracal
71587652,2018-08-01T01:42:35Z,628,Arbitrator
71586291,2018-07-31T23:33:36Z,33470,Stratios
71586216,2018-07-31T23:25:29Z,11999,Vagabond
71585916,2018-07-31T22:56:23Z,17843,Vexor Navy Issue
71585809,2018-07-31T22:51:12Z,623,Moa
71585352,2018-07-31T22:16:11Z,17715,Gila
71584581,2018-07-31T21:26:10Z,17715,Gila
71584498,2018-07-31T21:21:32Z,17715,Gila
71583086,2018-07-31T20:09:41Z,17715,Gila
71582274,2018-07-31T19:38:55Z,11993,Cerberus
71578867,2018-07-31T16:32:50Z,17715,Gila
71577260,2018-07-31T14:34:17Z,626,Vexor
71577152,2018-07-31T14:25:42Z,626,Vexor
71576642,2018-07-31T13:49:11Z,17843,Vexor Navy Issue
71575707,2018-07-31T12:29:06Z,626,Vexor
71575376,2018-07-31T11:56:45Z,621,Caracal
71575354,2018-07-31T11:53:17Z,17715,Gila
71575303,2018-07-31T11:45:18Z,621,Caracal
71574900,2018-07-31T10:29:52Z,627,Thorax
71574759,2018-07-31T10:12:55Z,624,Maller
71574687,2018-07-31T10:05:01Z,17715,Gila
71574544,2018-07-31T09:46:27Z,17715,Gila
71573904,2018-07-31T08:27:04Z,17715,Gila
71572793,2018-07-31T05:57:58Z,621,Caracal
71571811,2018-07-31T04:43:50Z,17715,Gila
71570084,2018-07-31T02:54:45Z,17715,Gila
71569775,2018-07-31T02:32:02Z,621,Caracal
71569768,2018-07-31T02:31:31Z,17715,Gila
71569045,2018-07-31T01:30:15Z,624,Maller
71567033,2018-07-30T22:53:19Z,12019,Sacrilege
71566432,2018-07-30T22:09:48Z,47270,Vedmak
71566155,2018-07-30T21:53:25Z,17715,Gila
71566050,2018-07-30T21:47:23Z,17715,Gila
71564994,2018-07-30T20:53:00Z,17715,Gila
71564805,2018-07-30T20:42:49Z,624,Maller
71564351,2018-07-30T20:19:24Z,17715,Gila
71564083,2018-07-30T20:05:48Z,33818,Orthrus
71563611,2018-07-30T19:43:47Z,17715,Gila
71563575,2018-07-30T19:42:14Z,17715,Gila
71560802,2018-07-30T17:05:32Z,17715,Gila
71559910,2018-07-30T15:58:51Z,29337,Augoror Navy Issue
71557767,2018-07-30T13:03:31Z,624,Maller
71556126,2018-07-30T09:16:54Z,621,Caracal
71555134,2018-07-30T06:53:53Z,12005,Ishtar
71551643,2018-07-30T00:50:56Z,47270,Vedmak
71551252,2018-07-30T00:16:45Z,626,Vexor
71547894,2018-07-29T21:05:23Z,17715,Gila
71546337,2018-07-29T20:06:10Z,17715,Gila
71544317,2018-07-29T18:55:15Z,17722,Vigilant
71543523,2018-07-29T18:23:23Z,17715,Gila
71542548,2018-07-29T17:45:13Z,17715,Gila
71542034,2018-07-29T17:26:44Z,17634,Caracal Navy Issue
71541360,2018-07-29T16:58:35Z,626,Vexor
71540419,2018-07-29T16:20:19Z,626,Vexor
71539190,2018-07-29T15:33:56Z,626,Vexor
71536511,2018-07-29T13:25:58Z,17715,Gila
71536199,2018-07-29T13:04:39Z,17715,Gila
71536161,2018-07-29T13:02:35Z,621,Caracal
71535405,2018-07-29T12:19:28Z,2006,Omen
71533830,2018-07-29T10:13:49Z,17715,Gila
71533127,2018-07-29T09:27:01Z,17715,Gila
71532249,2018-07-29T08:21:06Z,17715,Gila
71532061,2018-07-29T08:09:16Z,17715,Gila
71531597,2018-07-29T07:20:16Z,626,Vexor
71529445,2018-07-29T04:04:10Z,12005,Ishtar
71529123,2018-07-29T03:37:50Z,17715,Gila
71528292,2018-07-29T02:45:13Z,17715,Gila
71525466,2018-07-28T23:10:37Z,17715,Gila
71523011,2018-07-28T21:08:25Z,17715,Gila
71521579,2018-07-28T20:15:24Z,12005,Ishtar
71521000,2018-07-28T19:49:17Z,621,Caracal
71520753,2018-07-28T19:37:24Z,17715,Gila
71520402,2018-07-28T19:18:26Z,12005,Ishtar
71519010,2018-07-28T18:04:11Z,17715,Gila
71517780,2018-07-28T17:13:13Z,17715,Gila
71516312,2018-07-28T16:08:13Z,12005,Ishtar
71515860,2018-07-28T15:39:59Z,629,Rupture
71515088,2018-07-28T14:53:43Z,12005,Ishtar
71511484,2018-07-28T10:29:49Z,17715,Gila
71510975,2018-07-28T09:54:03Z,17715,Gila
71510663,2018-07-28T09:30:53Z,17715,Gila
71509995,2018-07-28T08:32:19Z,17715,Gila
71509972,2018-07-28T08:29:46Z,621,Caracal
71509075,2018-07-28T07:16:33Z,626,Vexor
71508693,2018-07-28T06:41:44Z,17715,Gila
71508677,2018-07-28T06:39:56Z,12005,Ishtar
71507792,2018-07-28T05:20:31Z,12019,Sacrilege
71506918,2018-07-28T04:09:44Z,627,Thorax
71506850,2018-07-28T04:04:47Z,626,Vexor
71506418,2018-07-28T03:36:20Z,626,Vexor
71504540,2018-07-28T01:30:37Z,629,Rupture
71502880,2018-07-27T23:20:23Z,12019,Sacrilege
71502878,2018-07-27T23:20:13Z,12019,Sacrilege
71501265,2018-07-27T21:38:29Z,12015,Muninn
71501246,2018-07-27T21:37:21Z,17715,Gila
71498052,2018-07-27T18:58:20Z,33470,Stratios
71497850,2018-07-27T18:46:19Z,47270,Vedmak
71497375,2018-07-27T18:17:12Z,17720,Cynabal
71495427,2018-07-27T16:11:57Z,17715,Gila
71493705,2018-07-27T14:28:46Z,17715,Gila
71491163,2018-07-27T11:51:27Z,621,Caracal
71491078,2018-07-27T11:44:30Z,2006,Omen
71490841,2018-07-27T10:52:30Z,626,Vexor
71490442,2018-07-27T10:05:01Z,628,Arbitrator
71489968,2018-07-27T09:18:45Z,12005,Ishtar
71488348,2018-07-27T05:41:41Z,17715,Gila
71488143,2018-07-27T05:14:38Z,33470,Stratios
71486911,2018-07-27T03:03:17Z,33470,Stratios
71486485,2018-07-27T02:27:17Z,17715,Gila
71486340,2018-07-27T02:14:50Z,17715,Gila
71485745,2018-07-27T01:36:36Z,17715,Gila
71485604,2018-07-27T01:24:31Z,629,Rupture
71484045,2018-07-26T23:50:02Z,17715,Gila
71483503,2018-07-26T22:58:06Z,17715,Gila
71481919,2018-07-26T20:58:00Z,17715,Gila
71478515,2018-07-26T17:46:47Z,17715,Gila
71478064,2018-07-26T17:08:27Z,17715,Gila
71478020,2018-07-26T17:05:45Z,17715,Gila
71476920,2018-07-26T15:45:19Z,17715,Gila
71475591,2018-07-26T14:14:35Z,17715,Gila
71474399,2018-07-26T12:55:04Z,12003,Zealot
71474357,2018-07-26T12:51:43Z,17843,Vexor Navy Issue
71473896,2018-07-26T11:55:42Z,17715,Gila
71473161,2018-07-26T10:15:43Z,621,Caracal
71472967,2018-07-26T09:52:17Z,17715,Gila
71471946,2018-07-26T07:27:43Z,628,Arbitrator
71471282,2018-07-26T05:59:45Z,17715,Gila
71471155,2018-07-26T05:42:28Z,17715,Gila
71467424,2018-07-25T23:43:55Z,622,Stabber
71466879,2018-07-25T23:00:18Z,17715,Gila
71466291,2018-07-25T22:13:49Z,12019,Sacrilege
71465122,2018-07-25T21:04:04Z,17715,Gila
71464871,2018-07-25T20:50:29Z,627,Thorax
71462935,2018-07-25T19:03:54Z,17715,Gila
71462245,2018-07-25T18:28:43Z,17715,Gila
71461529,2018-07-25T17:44:19Z,17715,Gila
71460237,2018-07-25T16:26:44Z,12019,Sacrilege
71460147,2018-07-25T16:18:12Z,17715,Gila
71459982,2018-07-25T16:08:13Z,12019,Sacrilege
71459977,2018-07-25T16:07:33Z,621,Caracal
71459143,2018-07-25T14:59:37Z,17843,Vexor Navy Issue
71458929,2018-07-25T14:46:56Z,628,Arbitrator
71457795,2018-07-25T13:29:17Z,17843,Vexor Navy Issue
71455814,2018-07-25T10:28:11Z,12005,Ishtar
71455723,2018-07-25T10:15:40Z,17715,Gila
71455557,2018-07-25T09:52:38Z,17715,Gila
71454735,2018-07-25T08:02:30Z,624,Maller
71454142,2018-07-25T06:33:31Z,12019,Sacrilege
71452859,2018-07-25T04:00:18Z,629,Rupture
71452544,2018-07-25T03:26:08Z,621,Caracal
71452511,2018-07-25T03:23:28Z,17715,Gila
71449815,2018-07-24T23:58:22Z,17718,Phantasm
71447856,2018-07-24T21:18:32Z,12015,Muninn
71446536,2018-07-24T20:14:55Z,11995,Onyx
71445301,2018-07-24T19:16:04Z,12019,Sacrilege
71444980,2018-07-24T18:59:19Z,626,Vexor
71443726,2018-07-24T18:00:09Z,626,Vexor
71442706,2018-07-24T17:02:25Z,17715,Gila
